filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
trapez_26.png,1200140,"{}",1,0,"{""name"":""rect"",""x"":303,""y"":26,""width"":625,""height"":505}","{""label"":""tra00""}"
trapez_25.png,1169921,"{}",1,0,"{""name"":""rect"",""x"":303,""y"":33,""width"":625,""height"":500}","{""label"":""tra00""}"
trapez_24.png,1173515,"{}",1,0,"{""name"":""rect"",""x"":241,""y"":22,""width"":581,""height"":436}","{""label"":""tra00""}"
trapez_23.png,1199998,"{}",1,0,"{""name"":""rect"",""x"":699,""y"":283,""width"":528,""height"":403}","{""label"":""tra00""}"
trapez_22.png,1170781,"{}",1,0,"{""name"":""rect"",""x"":650,""y"":202,""width"":592,""height"":442}","{""label"":""tra00""}"
trapez_19.png,1171155,"{}",1,0,"{""name"":""rect"",""x"":377,""y"":41,""width"":638,""height"":470}","{""label"":""tra00""}"
trapez_18.png,1226336,"{}",1,0,"{""name"":""rect"",""x"":259,""y"":8,""width"":594,""height"":523}","{""label"":""tra00""}"
trapez_17.png,1215080,"{}",1,0,"{""name"":""rect"",""x"":298,""y"":15,""width"":402,""height"":526}","{""label"":""tra00""}"
trapez_16.png,1170780,"{}",1,0,"{""name"":""rect"",""x"":226,""y"":5,""width"":600,""height"":449}","{""label"":""tra00""}"
trapez_15.png,1174198,"{}",1,0,"{""name"":""rect"",""x"":237,""y"":50,""width"":538,""height"":408}","{""label"":""tra00""}"
trapez_14.png,1222949,"{}",1,0,"{""name"":""rect"",""x"":265,""y"":18,""width"":522,""height"":417}","{""label"":""tra00""}"
trapez_13.png,1179564,"{}",1,0,"{""name"":""rect"",""x"":402,""y"":28,""width"":410,""height"":512}","{""label"":""tra00""}"
trapez_12.png,1197172,"{}",1,0,"{""name"":""rect"",""x"":566,""y"":157,""width"":409,""height"":522}","{""label"":""tra00""}"
trapez_11.png,1248051,"{}",1,0,"{""name"":""rect"",""x"":602,""y"":299,""width"":520,""height"":413}","{""label"":""tra00""}"
trapez_10.png,1200494,"{}",1,0,"{""name"":""rect"",""x"":616,""y"":266,""width"":517,""height"":411}","{""label"":""tra00""}"
trapez_9.png,1187293,"{}",1,0,"{""name"":""rect"",""x"":608,""y"":241,""width"":528,""height"":422}","{""label"":""tra00""}"
trapez_8.png,1185594,"{}",1,0,"{""name"":""rect"",""x"":649,""y"":239,""width"":527,""height"":405}","{""label"":""tra00""}"
trapez_7.png,1212902,"{}",1,0,"{""name"":""rect"",""x"":650,""y"":288,""width"":524,""height"":406}","{""label"":""tra00""}"
trapez_6.png,1163505,"{}",1,0,"{""name"":""rect"",""x"":446,""y"":126,""width"":516,""height"":402}","{""label"":""tra00""}"
trapez_5.png,1190550,"{}",1,0,"{""name"":""rect"",""x"":436,""y"":131,""width"":523,""height"":400}","{""label"":""tra00""}"
trapez_4.png,1179623,"{}",1,0,"{""name"":""rect"",""x"":463,""y"":150,""width"":516,""height"":401}","{""label"":""tra00""}"
trapez_3.png,1147615,"{}",1,0,"{""name"":""rect"",""x"":475,""y"":160,""width"":524,""height"":424}","{""label"":""tra00""}"
trapez_2.png,1148399,"{}",1,0,"{""name"":""rect"",""x"":456,""y"":144,""width"":517,""height"":417}","{""label"":""tra00""}"
trapez_1.png,1146143,"{}",1,0,"{""name"":""rect"",""x"":447,""y"":135,""width"":524,""height"":425}","{""label"":""tra00""}"
square_25.png,1303965,"{}",1,0,"{""name"":""rect"",""x"":512,""y"":184,""width"":412,""height"":414}","{""label"":""squ00""}"
square_23.png,1272832,"{}",1,0,"{""name"":""rect"",""x"":535,""y"":177,""width"":441,""height"":439}","{""label"":""squ00""}"
square_22.png,1275215,"{}",1,0,"{""name"":""rect"",""x"":510,""y"":159,""width"":434,""height"":433}","{""label"":""squ00""}"
square_21.png,1332521,"{}",1,0,"{""name"":""rect"",""x"":339,""y"":54,""width"":402,""height"":404}","{""label"":""squ00""}"
square_20.png,1343028,"{}",1,0,"{""name"":""rect"",""x"":69,""y"":7,""width"":487,""height"":478}","{""label"":""squ00""}"
square_19.png,1342704,"{}",1,0,"{""name"":""rect"",""x"":62,""y"":3,""width"":495,""height"":481}","{""label"":""squ00""}"
